




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (973)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (expected)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (over/under)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (fold Enrichment)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (raw P-value)	H3K4me3_ES_E14.intersect_with_ZDNA.genes_uniq.txt (FDR)
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	190	30	8.41	+	3.57	1.69E-08	1.83E-06
digestive tract development (GO:0048565)	121	19	5.35	+	3.55	7.41E-06	4.79E-04
regulation of regulated secretory pathway (GO:1903305)	179	28	7.92	+	3.53	5.99E-08	5.79E-06
negative regulation of synaptic transmission (GO:0050805)	71	11	3.14	+	3.50	6.68E-04	2.31E-02
positive regulation of osteoblast differentiation (GO:0045669)	72	11	3.19	+	3.45	7.41E-04	2.50E-02
regulation of dendrite development (GO:0050773)	131	20	5.80	+	3.45	6.26E-06	4.15E-04
pancreas development (GO:0031016)	79	12	3.50	+	3.43	4.53E-04	1.69E-02
synapse assembly (GO:0007416)	86	13	3.81	+	3.42	2.78E-04	1.13E-02
peptidyl-threonine modification (GO:0018210)	86	13	3.81	+	3.42	2.78E-04	1.13E-02
camera-type eye morphogenesis (GO:0048593)	147	22	6.50	+	3.38	2.92E-06	2.10E-04
mesoderm morphogenesis (GO:0048332)	67	10	2.96	+	3.37	1.49E-03	4.50E-02
central nervous system neuron differentiation (GO:0021953)	215	32	9.51	+	3.36	1.98E-08	2.11E-06
regulation of receptor internalization (GO:0002090)	74	11	3.27	+	3.36	9.07E-04	2.96E-02
neuron fate commitment (GO:0048663)	74	11	3.27	+	3.36	9.07E-04	2.96E-02
central nervous system neuron development (GO:0021954)	101	15	4.47	+	3.36	1.16E-04	5.35E-03
regulation of animal organ morphogenesis (GO:2000027)	129	19	5.71	+	3.33	1.66E-05	9.94E-04
regulation of signaling receptor activity (GO:0010469)	143	21	6.33	+	3.32	6.35E-06	4.19E-04
retina morphogenesis in camera-type eye (GO:0060042)	75	11	3.32	+	3.31	1.00E-03	3.22E-02
positive regulation of cell junction assembly (GO:1901890)	123	18	5.44	+	3.31	2.97E-05	1.61E-03
regulation of synaptic plasticity (GO:0048167)	227	33	10.05	+	3.29	1.99E-08	2.10E-06
axon guidance (GO:0007411)	234	34	10.35	+	3.28	1.23E-08	1.36E-06
neuron projection guidance (GO:0097485)	235	34	10.40	+	3.27	1.35E-08	1.48E-06
regulation of fat cell differentiation (GO:0045598)	146	21	6.46	+	3.25	8.44E-06	5.37E-04
peptidyl-threonine phosphorylation (GO:0018107)	77	11	3.41	+	3.23	1.21E-03	3.80E-02
potassium ion transport (GO:0006813)	162	23	7.17	+	3.21	3.88E-06	2.68E-04
regulation of receptor-mediated endocytosis (GO:0048259)	120	17	5.31	+	3.20	7.04E-05	3.45E-03
neurotransmitter secretion (GO:0007269)	85	12	3.76	+	3.19	8.12E-04	2.70E-02
signal release from synapse (GO:0099643)	85	12	3.76	+	3.19	8.12E-04	2.69E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	107	15	4.73	+	3.17	2.04E-04	8.57E-03
axis specification (GO:0009798)	93	13	4.12	+	3.16	5.44E-04	1.93E-02
regulation of neurotransmitter levels (GO:0001505)	251	35	11.11	+	3.15	1.91E-08	2.07E-06
learning (GO:0007612)	180	25	7.97	+	3.14	2.13E-06	1.58E-04
synapse organization (GO:0050808)	305	42	13.50	+	3.11	1.03E-09	1.38E-07
dendrite development (GO:0016358)	138	19	6.11	+	3.11	3.84E-05	2.02E-03
regulation of cell junction assembly (GO:1901888)	220	30	9.74	+	3.08	3.00E-07	2.53E-05
axonogenesis (GO:0007409)	354	48	15.66	+	3.06	1.06E-10	1.62E-08
spinal cord development (GO:0021510)	96	13	4.25	+	3.06	7.12E-04	2.43E-02
neuron migration (GO:0001764)	148	20	6.55	+	3.05	3.08E-05	1.66E-03
primary neural tube formation (GO:0014020)	119	16	5.27	+	3.04	1.96E-04	8.30E-03
multicellular organism growth (GO:0035264)	119	16	5.27	+	3.04	1.96E-04	8.28E-03
neural tube closure (GO:0001843)	112	15	4.96	+	3.03	3.18E-04	1.26E-02
positive regulation of synaptic transmission (GO:0050806)	165	22	7.30	+	3.01	1.52E-05	9.19E-04
tube closure (GO:0060606)	113	15	5.00	+	3.00	3.47E-04	1.35E-02
hair follicle development (GO:0001942)	98	13	4.34	+	3.00	8.46E-04	2.79E-02
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	98	13	4.34	+	3.00	8.46E-04	2.79E-02
axon development (GO:0061564)	385	51	17.04	+	2.99	5.82E-11	9.36E-09
regulation of exocytosis (GO:0017157)	242	32	10.71	+	2.99	2.28E-07	1.98E-05
chemical synaptic transmission (GO:0007268)	348	46	15.40	+	2.99	5.45E-10	7.60E-08
anterograde trans-synaptic signaling (GO:0098916)	348	46	15.40	+	2.99	5.45E-10	7.54E-08
trans-synaptic signaling (GO:0099537)	366	48	16.20	+	2.96	2.91E-10	4.24E-08
regulation of canonical Wnt signaling pathway (GO:0060828)	244	32	10.80	+	2.96	2.69E-07	2.29E-05
hindbrain development (GO:0030902)	168	22	7.43	+	2.96	1.96E-05	1.14E-03
positive regulation of transporter activity (GO:0032411)	130	17	5.75	+	2.96	1.69E-04	7.37E-03
neural crest cell differentiation (GO:0014033)	92	12	4.07	+	2.95	1.50E-03	4.53E-02
action potential (GO:0001508)	92	12	4.07	+	2.95	1.50E-03	4.52E-02
ossification (GO:0001503)	230	30	10.18	+	2.95	6.99E-07	5.54E-05
negative regulation of protein kinase activity (GO:0006469)	208	27	9.20	+	2.93	2.70E-06	1.96E-04
cell morphogenesis involved in neuron differentiation (GO:0048667)	449	58	19.87	+	2.92	6.84E-12	1.35E-09
embryonic epithelial tube formation (GO:0001838)	155	20	6.86	+	2.92	5.54E-05	2.82E-03
memory (GO:0007613)	155	20	6.86	+	2.92	5.54E-05	2.81E-03
neuron differentiation (GO:0030182)	1086	140	48.06	+	2.91	1.86E-27	4.90E-24
kidney epithelium development (GO:0072073)	132	17	5.84	+	2.91	1.99E-04	8.38E-03
synaptic signaling (GO:0099536)	404	52	17.88	+	2.91	9.61E-11	1.50E-08
segmentation (GO:0035282)	101	13	4.47	+	2.91	1.09E-03	3.48E-02
morphogenesis of embryonic epithelium (GO:0016331)	179	23	7.92	+	2.90	1.68E-05	9.99E-04
negative regulation of protein serine/threonine kinase activity (GO:0071901)	117	15	5.18	+	2.90	4.83E-04	1.76E-02
anterior/posterior pattern specification (GO:0009952)	227	29	10.05	+	2.89	1.56E-06	1.17E-04
skin epidermis development (GO:0098773)	102	13	4.51	+	2.88	1.18E-03	3.73E-02
hair cycle process (GO:0022405)	102	13	4.51	+	2.88	1.18E-03	3.72E-02
molting cycle process (GO:0022404)	102	13	4.51	+	2.88	1.18E-03	3.71E-02
eye morphogenesis (GO:0048592)	173	22	7.66	+	2.87	2.93E-05	1.59E-03
neural tube formation (GO:0001841)	134	17	5.93	+	2.87	2.34E-04	9.71E-03
negative regulation of kinase activity (GO:0033673)	231	29	10.22	+	2.84	2.13E-06	1.58E-04
neuron projection morphogenesis (GO:0048812)	486	61	21.51	+	2.84	5.74E-12	1.16E-09
regulation of Wnt signaling pathway (GO:0030111)	311	39	13.76	+	2.83	4.04E-08	4.09E-06
cell-cell signaling (GO:0007267)	830	104	36.73	+	2.83	1.23E-19	7.76E-17
regulation of DNA binding (GO:0051101)	120	15	5.31	+	2.82	6.14E-04	2.16E-02
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	128	16	5.66	+	2.82	4.10E-04	1.55E-02
negative regulation of secretion by cell (GO:1903531)	176	22	7.79	+	2.82	3.71E-05	1.97E-03
cell projection morphogenesis (GO:0048858)	498	62	22.04	+	2.81	5.22E-12	1.07E-09
regulation of axonogenesis (GO:0050770)	185	23	8.19	+	2.81	2.69E-05	1.48E-03
positive regulation of nervous system development (GO:0051962)	346	43	15.31	+	2.81	1.04E-08	1.17E-06
epithelial tube formation (GO:0072175)	161	20	7.12	+	2.81	8.90E-05	4.24E-03
neurotransmitter transport (GO:0006836)	129	16	5.71	+	2.80	4.43E-04	1.66E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	492	61	21.77	+	2.80	9.10E-12	1.73E-09
gland morphogenesis (GO:0022612)	121	15	5.35	+	2.80	6.63E-04	2.30E-02
vesicle-mediated transport in synapse (GO:0099003)	138	17	6.11	+	2.78	3.20E-04	1.26E-02
positive regulation of Wnt signaling pathway (GO:0030177)	138	17	6.11	+	2.78	3.20E-04	1.25E-02
positive regulation of ion transmembrane transporter activity (GO:0032414)	122	15	5.40	+	2.78	7.16E-04	2.43E-02
regulation of axon extension (GO:0030516)	114	14	5.04	+	2.78	1.07E-03	3.44E-02
regulation of osteoblast differentiation (GO:0045667)	139	17	6.15	+	2.76	3.45E-04	1.35E-02
neuron projection development (GO:0031175)	715	87	31.64	+	2.75	1.16E-15	4.94E-13
negative regulation of Wnt signaling pathway (GO:0030178)	165	20	7.30	+	2.74	1.20E-04	5.52E-03
regulation of neuron projection development (GO:0010975)	545	66	24.12	+	2.74	3.22E-12	6.95E-10
neuron development (GO:0048666)	884	107	39.12	+	2.74	4.33E-19	2.62E-16
learning or memory (GO:0007611)	306	37	13.54	+	2.73	2.05E-07	1.78E-05
protein homooligomerization (GO:0051260)	174	21	7.70	+	2.73	8.70E-05	4.16E-03
regulation of cell morphogenesis involved in differentiation (GO:0010769)	116	14	5.13	+	2.73	1.25E-03	3.90E-02
embryonic skeletal system development (GO:0048706)	141	17	6.24	+	2.72	4.01E-04	1.53E-02
synaptic vesicle cycle (GO:0099504)	125	15	5.53	+	2.71	8.98E-04	2.94E-02
cognition (GO:0050890)	343	41	15.18	+	2.70	6.04E-08	5.81E-06
regulation of membrane potential (GO:0042391)	452	54	20.00	+	2.70	7.31E-10	9.94E-08
camera-type eye development (GO:0043010)	344	41	15.22	+	2.69	6.49E-08	6.17E-06
protein localization to cell periphery (GO:1990778)	253	30	11.20	+	2.68	4.06E-06	2.77E-04
cell part morphogenesis (GO:0032990)	524	62	23.19	+	2.67	4.25E-11	7.13E-09
regionalization (GO:0003002)	355	42	15.71	+	2.67	8.35E-08	7.70E-06
negative regulation of transferase activity (GO:0051348)	264	31	11.68	+	2.65	3.39E-06	2.37E-04
cell-cell adhesion (GO:0098609)	410	48	18.14	+	2.65	1.02E-08	1.16E-06
generation of neurons (GO:0048699)	1371	159	60.67	+	2.62	1.57E-26	3.10E-23
pattern specification process (GO:0007389)	457	53	20.22	+	2.62	2.04E-09	2.59E-07
positive regulation of developmental growth (GO:0048639)	216	25	9.56	+	2.62	3.63E-05	1.93E-03
regulation of nervous system development (GO:0051960)	536	62	23.72	+	2.61	8.66E-11	1.38E-08
brain development (GO:0007420)	650	75	28.76	+	2.61	1.36E-12	3.11E-10
neurogenesis (GO:0022008)	1503	173	66.51	+	2.60	9.92E-29	3.13E-25
negative regulation of protein phosphorylation (GO:0001933)	349	40	15.44	+	2.59	2.81E-07	2.38E-05
regulation of nervous system process (GO:0031644)	184	21	8.14	+	2.58	1.77E-04	7.63E-03
telencephalon development (GO:0021537)	246	28	10.89	+	2.57	2.33E-05	1.31E-03
negative regulation of canonical Wnt signaling pathway (GO:0090090)	132	15	5.84	+	2.57	1.48E-03	4.47E-02
tube formation (GO:0035148)	176	20	7.79	+	2.57	2.63E-04	1.07E-02
head development (GO:0060322)	705	80	31.20	+	2.56	3.62E-13	9.67E-11
gastrulation (GO:0007369)	150	17	6.64	+	2.56	7.58E-04	2.54E-02
sensory organ morphogenesis (GO:0090596)	301	34	13.32	+	2.55	2.98E-06	2.12E-04
calcium ion transport (GO:0006816)	213	24	9.43	+	2.55	1.09E-04	5.07E-03
negative regulation of MAPK cascade (GO:0043409)	178	20	7.88	+	2.54	4.83E-04	1.77E-02
cell morphogenesis involved in differentiation (GO:0000904)	579	65	25.62	+	2.54	1.05E-10	1.63E-08
limb morphogenesis (GO:0035108)	170	19	7.52	+	2.53	7.16E-04	2.45E-02
appendage morphogenesis (GO:0035107)	170	19	7.52	+	2.53	7.16E-04	2.44E-02
neuromuscular process (GO:0050905)	179	20	7.92	+	2.52	4.95E-04	1.79E-02
forebrain development (GO:0030900)	385	43	17.04	+	2.52	1.70E-07	1.50E-05
central nervous system development (GO:0007417)	878	98	38.85	+	2.52	1.67E-15	6.43E-13
negative regulation of secretion (GO:0051048)	207	23	9.16	+	2.51	1.73E-04	7.48E-03
small GTPase mediated signal transduction (GO:0007264)	227	25	10.05	+	2.49	9.26E-05	4.39E-03
sensory system development (GO:0048880)	394	43	17.44	+	2.47	3.94E-07	3.27E-05
negative regulation of nervous system development (GO:0051961)	165	18	7.30	+	2.47	1.16E-03	3.68E-02
negative regulation of phosphorylation (GO:0042326)	395	43	17.48	+	2.46	4.08E-07	3.37E-05
positive regulation of neurogenesis (GO:0050769)	285	31	12.61	+	2.46	1.47E-05	8.96E-04
heart morphogenesis (GO:0003007)	267	29	11.82	+	2.45	2.88E-05	1.57E-03
eye development (GO:0001654)	387	42	17.13	+	2.45	6.01E-07	4.89E-05
neural tube development (GO:0021915)	194	21	8.58	+	2.45	4.26E-04	1.61E-02
mesenchyme development (GO:0060485)	222	24	9.82	+	2.44	1.57E-04	7.00E-03
regulation of GTPase activity (GO:0043087)	324	35	14.34	+	2.44	7.15E-06	4.66E-04
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	204	22	9.03	+	2.44	3.14E-04	1.24E-02
visual system development (GO:0150063)	390	42	17.26	+	2.43	6.77E-07	5.39E-05
regulation of anatomical structure morphogenesis (GO:0022603)	971	104	42.97	+	2.42	2.81E-15	1.06E-12
regulation of cation channel activity (GO:2001257)	178	19	7.88	+	2.41	9.35E-04	3.04E-02
limb development (GO:0060173)	197	21	8.72	+	2.41	4.85E-04	1.77E-02
appendage development (GO:0048736)	197	21	8.72	+	2.41	4.85E-04	1.76E-02
regulation of developmental growth (GO:0048638)	394	42	17.44	+	2.41	8.09E-07	6.28E-05
nervous system development (GO:0007399)	2106	224	93.19	+	2.40	4.31E-33	6.79E-29
cell junction organization (GO:0034330)	508	54	22.48	+	2.40	2.68E-08	2.77E-06
morphogenesis of a branching structure (GO:0001763)	207	22	9.16	+	2.40	3.60E-04	1.40E-02
cellular component morphogenesis (GO:0032989)	612	65	27.08	+	2.40	7.78E-10	1.05E-07
sensory organ development (GO:0007423)	603	64	26.68	+	2.40	1.09E-09	1.44E-07
epithelial tube morphogenesis (GO:0060562)	368	39	16.28	+	2.39	2.34E-06	1.73E-04
positive regulation of GTPase activity (GO:0043547)	236	25	10.44	+	2.39	1.44E-04	6.46E-03
cardiac chamber development (GO:0003205)	189	20	8.36	+	2.39	7.17E-04	2.43E-02
metal ion transport (GO:0030001)	294	31	13.01	+	2.38	3.46E-05	1.85E-03
negative regulation of cell projection organization (GO:0031345)	209	22	9.25	+	2.38	3.96E-04	1.52E-02
regulation of insulin secretion (GO:0050796)	191	20	8.45	+	2.37	7.85E-04	2.63E-02
embryonic organ morphogenesis (GO:0048562)	326	34	14.43	+	2.36	1.46E-05	8.95E-04
regulation of cell morphogenesis (GO:0022604)	326	34	14.43	+	2.36	1.46E-05	8.92E-04
second-messenger-mediated signaling (GO:0019932)	183	19	8.10	+	2.35	1.16E-03	3.68E-02
embryonic organ development (GO:0048568)	501	52	22.17	+	2.35	8.34E-08	7.73E-06
protein localization to plasma membrane (GO:0072659)	204	21	9.03	+	2.33	6.77E-04	2.34E-02
regulation of transporter activity (GO:0032409)	292	30	12.92	+	2.32	6.18E-05	3.08E-03
regulation of neurogenesis (GO:0050767)	438	45	19.38	+	2.32	8.88E-07	6.83E-05
positive regulation of cell growth (GO:0030307)	185	19	8.19	+	2.32	1.27E-03	3.95E-02
cell fate commitment (GO:0045165)	263	27	11.64	+	2.32	1.62E-04	7.15E-03
positive regulation of binding (GO:0051099)	195	20	8.63	+	2.32	9.49E-04	3.08E-02
positive regulation of cell development (GO:0010720)	363	37	16.06	+	2.30	1.27E-05	7.93E-04
regulation of peptide hormone secretion (GO:0090276)	236	24	10.44	+	2.30	4.63E-04	1.72E-02
cell morphogenesis (GO:0000902)	749	76	33.14	+	2.29	2.86E-10	4.22E-08
regulation of transmembrane transporter activity (GO:0022898)	278	28	12.30	+	2.28	1.42E-04	6.41E-03
positive regulation of growth (GO:0045927)	298	30	13.19	+	2.27	7.90E-05	3.80E-03
negative regulation of protein modification process (GO:0031400)	520	52	23.01	+	2.26	2.55E-07	2.20E-05
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	250	25	11.06	+	2.26	3.80E-04	1.47E-02
morphogenesis of an epithelium (GO:0002009)	521	52	23.05	+	2.26	2.65E-07	2.28E-05
ear development (GO:0043583)	241	24	10.66	+	2.25	5.35E-04	1.92E-02
regulation of peptide secretion (GO:0002791)	241	24	10.66	+	2.25	5.35E-04	1.92E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	904	90	40.00	+	2.25	9.31E-12	1.75E-09
inorganic cation transmembrane transport (GO:0098662)	435	43	19.25	+	2.23	4.71E-06	3.20E-04
regulation of peptide transport (GO:0090087)	243	24	10.75	+	2.23	5.73E-04	2.02E-02
negative regulation of phosphorus metabolic process (GO:0010563)	456	45	20.18	+	2.23	2.59E-06	1.90E-04
negative regulation of phosphate metabolic process (GO:0045936)	456	45	20.18	+	2.23	2.59E-06	1.89E-04
regulation of plasma membrane bounded cell projection organization (GO:0120035)	730	72	32.30	+	2.23	1.90E-09	2.44E-07
regulation of vesicle-mediated transport (GO:0060627)	600	59	26.55	+	2.22	6.56E-08	6.19E-06
regulation of cell projection organization (GO:0031344)	747	73	33.06	+	2.21	2.68E-09	3.30E-07
